entity_relationship_id,depends_on_entity_relationship_id,subject_entity_id ,entity_relationship_type,object_entity_id,object_entity_iri,entity_relationship_date,entity_relationship_order
USNM-ER-82,,https://n2t.net/ark:/65665/39f53b18e-9607-4c1d-919c-647e772a354f,on same slab,https://n2t.net/ark:/65665/38f108bb6-3d98-4ab5-9e5f-df39f54bd5a6,,,0
USNM-ER-83,,https://n2t.net/ark:/65665/38f108bb6-3d98-4ab5-9e5f-df39f54bd5a6,on same slab,https://n2t.net/ark:/65665/39f53b18e-9607-4c1d-919c-647e772a354f,,,0
USNM-ER-1,,https://n2t.net/ark:/65665/3d75a4f23-e20a-43bc-9515-967773adf82e,sample of,https://n2t.net/ark:/65665/333544cd9-20fd-402b-a4ce-de5d1afd322e,,,0
USNM-ER-2,USNM-ER-1,https://n2t.net/ark:/65665/382dcf9d4-24f5-4f1e-a5ab-c8fc7f33d796,DNA from,https://n2t.net/ark:/65665/3d75a4f23-e20a-43bc-9515-967773adf82e,,,1
USNM-ER-3,,https://n2t.net/ark:/65665/38ca56f68-ab14-4307-aa5b-f068203e6ee8,sample of,https://n2t.net/ark:/65665/321ee7d27-c0b5-407e-b37a-b0020cb3edb2,,,0
USNM-ER-4,USNM-ER-3,https://n2t.net/ark:/65665/3e0a55792-e60c-4014-b0db-80892f6e0f34,sample of,https://n2t.net/ark:/65665/38ca56f68-ab14-4307-aa5b-f068203e6ee8,,,0
USNM-ER-5,USNM-ER-3,https://n2t.net/ark:/65665/3b4036337-79c6-4284-84c8-0416540c4e74,DNA from,https://n2t.net/ark:/65665/38ca56f68-ab14-4307-aa5b-f068203e6ee8,,,1
USNM-ER-6,,https://n2t.net/ark:/65665/363ecefb4-67b4-45f2-9552-06798764fd8a,sample of,https://n2t.net/ark:/65665/373e72fc1-7fb8-438a-a4e5-568a4a8edd37,,,0
USNM-ER-7,USNM-ER-6,https://n2t.net/ark:/65665/3d741a004-5686-4ca8-a8d5-5e8cbe53cf57,DNA from,https://n2t.net/ark:/65665/363ecefb4-67b4-45f2-9552-06798764fd8a,,,1
USNM-ER-8,,https://n2t.net/ark:/65665/3003186b1-01c5-4fc9-bb04-c9206cb9dcd2,sample of,https://n2t.net/ark:/65665/34a9569f6-78e8-49a1-b960-d27b61c26865,,,0
USNM-ER-9,USNM-ER-8,https://n2t.net/ark:/65665/36811fab7-078e-4541-9862-be6212bf5434,DNA from,https://n2t.net/ark:/65665/3003186b1-01c5-4fc9-bb04-c9206cb9dcd2,,,1
USNM-ER-10,,https://n2t.net/ark:/65665/3881eba96-b081-4d39-a632-d8caeb78c3f4,sample of,https://n2t.net/ark:/65665/36cfde439-d2a4-4028-8b55-fb8b7bcd3497,,,0
USNM-ER-11,USNM-ER-10,https://n2t.net/ark:/65665/3a9ac22d0-21dc-4306-912d-f5e9cd7ddf2b,DNA from,https://n2t.net/ark:/65665/3881eba96-b081-4d39-a632-d8caeb78c3f4,,,1
USNM-ER-12,,https://n2t.net/ark:/65665/3d298e329-9026-4512-ba8c-b5c8dc7a04d7,sample of,https://n2t.net/ark:/65665/370c18f3f-66b5-4a4d-bab7-a35e441f16da,,,0
USNM-ER-13,USNM-ER-12,https://n2t.net/ark:/65665/38de6d0c6-e24c-4e6b-b213-21c03bba1404,DNA from,https://n2t.net/ark:/65665/3d298e329-9026-4512-ba8c-b5c8dc7a04d7,,,1
USNM-ER-14,,https://n2t.net/ark:/65665/3c5cbad0e-6227-492f-acc5-9e4a4a715d93,sample of,https://n2t.net/ark:/65665/34fc453ec-b00d-4be3-9616-5120d23b323a,,,0
USNM-ER-15,USNM-ER-14,https://n2t.net/ark:/65665/33290d6d9-144b-489c-a885-f99b3c672e9b,sample of,https://n2t.net/ark:/65665/3c5cbad0e-6227-492f-acc5-9e4a4a715d93,,,0
USNM-ER-16,USNM-ER-14,https://n2t.net/ark:/65665/34b41ec26-00f3-4b65-bb71-2e33be5db065,DNA from,https://n2t.net/ark:/65665/3c5cbad0e-6227-492f-acc5-9e4a4a715d93,,,1
USNM-ER-17,,https://n2t.net/ark:/65665/36f3223b5-d8ab-4f48-b6c7-7c3795e64545,sample of,https://n2t.net/ark:/65665/30685ffcb-af13-44a2-94fd-e68b93e583e8,,,0
USNM-ER-18,USNM-ER-17,https://n2t.net/ark:/65665/36906230b-f952-4841-bc1a-90b922dc3df7,DNA from,https://n2t.net/ark:/65665/36f3223b5-d8ab-4f48-b6c7-7c3795e64545,,,1
USNM-ER-19,,https://n2t.net/ark:/65665/35ca64f59-a623-4fb3-a7da-ff0321a5f63c,sample of,https://n2t.net/ark:/65665/3c89155ce-e1a8-44d2-ac80-6a49bbbd8b76,,,0
USNM-ER-20,USNM-ER-19,https://n2t.net/ark:/65665/34f87b283-48fc-4654-9d85-61c01f405d0e,DNA from,https://n2t.net/ark:/65665/35ca64f59-a623-4fb3-a7da-ff0321a5f63c,,,1
USNM-ER-21,,https://n2t.net/ark:/65665/3dbd9ae46-b707-4c20-ad78-53c79c443077,sample of,https://n2t.net/ark:/65665/3c1ea2e90-2eeb-4c33-ba98-c2933cf709d3,,,0
USNM-ER-22,USNM-ER-21,https://n2t.net/ark:/65665/3555ac63a-4bcd-4214-be5c-ca1d2fd1138f,DNA from,https://n2t.net/ark:/65665/3dbd9ae46-b707-4c20-ad78-53c79c443077,,,1
USNM-ER-23,,https://n2t.net/ark:/65665/37a606e36-f15e-44e3-90ab-7222e1e7b705,sample of,https://n2t.net/ark:/65665/345834662-c9aa-492e-9bbc-c64de74c5644,,,0
USNM-ER-24,USNM-ER-23,https://n2t.net/ark:/65665/35c5f8206-3a79-42fa-b395-bb504a5cea61,DNA from,https://n2t.net/ark:/65665/37a606e36-f15e-44e3-90ab-7222e1e7b705,,,1
USNM-ER-25,,https://n2t.net/ark:/65665/m35b4ac3b5-5c89-4f15-9ae3-a3c601320e6f,IS_IMAGE_OF,https://n2t.net/ark:/65665/30e746282-73bd-4c66-ab75-c6ec5d922dfd,,,0
